normalised,display_name,smiles,inchikey,source,is_ingredient_name
lactositol,lactositol,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
lactulosa,lactulosa,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,JCQLYHFGKNRPGE-UHFFFAOYSA-N,ChEMBL,False
lactulose,lactulose,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,JCQLYHFGKNRPGE-UHFFFAOYSA-N,ChEMBL,True
lactulose jp17,lactulose jp17,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,JCQLYHFGKNRPGE-UHFFFAOYSA-N,ChEMBL,False
lacty saccharide,lacty (saccharide),OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
laevo phenyl alanine,laevo-phenyl alanine,NC(Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-UHFFFAOYSA-N,ChEMBL,False
laevulinic acid,laevulinic acid,CC(=O)CCC(=O)O,JOOXCMJARBKPKM-UHFFFAOYSA-N,ChEMBL,False
lago dca,lago-dca,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,KXGVEGMKQFWNSR-UHFFFAOYSA-N,BindingDB,False
lagodeoxycholate,lagodeoxycholate,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,KXGVEGMKQFWNSR-UHFFFAOYSA-N,ChEMBL,False
lamivudine impurity c,lamivudine impurity c,Nc1cc[nH]c(=O)n1,OPTASPLRGRRNAP-UHFFFAOYSA-N,ChEMBL,False
lamivudine impurity c rs,lamivudine impurity c rs,Nc1cc[nH]c(=O)n1,OPTASPLRGRRNAP-UHFFFAOYSA-N,ChEMBL,False
lamivudine impurity e,lamivudine impurity e,O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,ChEMBL,False
lamivudine impurity e rs,lamivudine impurity e rs,O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,ChEMBL,False
lamivudine impurity salicylic acid,"lamivudine impurity, salicylic acid-",O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,ChEMBL,False
lamivudine related compound salicylic acid,lamivudine related compound salicylic acid,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,ChEMBL,False
lanacane,lanacane,CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N,ChEMBL,False
lanacort,lanacort,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,XNMUPDICNYMLBM-UHFFFAOYSA-N,ChEMBL,False
lanette 18,lanette 18,CCCCCCCCCCCCCCCCCCO,GLDOVTGHNKAZLK-UHFFFAOYSA-N,ChEMBL,False
